Property,Room,Total Res,Total Nights,Accom,Discount,Other,Total,Avg Accom,Avg Discount,Avg Other,Avg Daily Tariff,Occupancy (%)
Highfield Hotel,01,140,267,47631.80,0.00,789.62,48421.42,340.23,0.00,5.64,178.40,36.48
Highfield Hotel,03,149,337,39679.60,0.00,436.73,40116.33,266.31,0.00,2.93,117.74,46.04
Highfield Hotel,04,156,378,52065.08,0.00,816.00,52881.08,333.75,0.00,5.23,137.74,51.64
Highfield Hotel,05,185,361,55093.32,0.00,656.36,55749.68,297.80,0.00,3.55,152.61,49.32
Highfield Hotel,06,159,378,44191.82,0.00,301.31,44493.13,277.94,0.00,1.90,116.91,51.64
Highfield Hotel,07,169,389,44985.81,0.00,542.64,45528.45,266.19,0.00,3.21,115.64,53.14
Highfield Hotel,08,212,430,53024.77,0.00,444.48,53469.25,250.12,0.00,2.10,123.31,58.74
Highfield Hotel,09,123,360,37825.34,0.00,534.28,38359.62,307.52,0.00,4.34,105.07,49.18
Highfield Hotel,11,68,732,41893.32,0.00,38.50,41931.82,616.08,0.00,0.57,57.23,100.00
Highfield Hotel,12,167,301,60654.52,0.00,1028.40,61682.92,363.20,0.00,6.16,201.51,41.12
Highfield Hotel,14,212,525,70839.96,0.00,1085.36,71925.32,334.15,0.00,5.12,134.93,71.72
Highfield Hotel,15,171,369,47821.62,0.00,493.04,48314.66,279.66,0.00,2.88,129.60,50.41
Highfield Hotel,16,202,449,60692.72,0.00,2145.93,62838.65,300.46,0.00,10.62,135.17,61.34
Highfield Hotel,17,213,451,62289.55,0.00,837.46,63127.01,292.44,0.00,3.93,138.11,61.61
Highfield Hotel,18,145,372,44092.35,0.00,753.71,44846.06,304.09,0.00,5.20,118.53,50.82
Highfield Hotel,19,143,350,41423.70,0.00,448.63,41872.33,289.68,0.00,3.14,118.35,47.81
Highfield Hotel,20B,142,391,44534.33,0.00,130.45,44664.78,313.62,0.00,0.92,113.90,53.42
Highfield Hotel,21,139,350,42204.86,0.00,127.38,42332.24,303.63,0.00,0.92,120.59,47.81
Highfield Hotel,22,227,452,66907.82,0.00,1280.54,68188.36,294.75,0.00,5.64,148.03,61.75
Highfield Hotel,23,131,294,41637.56,0.00,351.86,41989.42,317.84,0.00,2.69,141.62,40.16
Highfield Hotel,24,174,340,57402.18,0.00,983.24,58385.42,329.90,0.00,5.65,168.83,46.45
Highfield Hotel,25,174,353,67529.86,0.00,1288.78,68818.64,388.10,0.00,7.41,191.30,48.22
Highfield Hotel,26,152,340,43059.25,0.00,581.37,43640.62,283.28,0.00,3.82,126.64,46.45
Highfield Hotel,27,50,167,21810.36,0.00,215.92,22026.28,436.21,0.00,4.32,130.60,22.81
Highfield Hotel,27,60,113,17352.95,0.00,343.40,17696.35,289.22,0.00,5.72,153.57,15.44
Highfield Hotel,28,190,370,55010.02,0.00,553.59,55563.61,289.53,0.00,2.91,148.68,50.55
Highfield Hotel,29,132,320,41624.06,0.00,594.81,42218.87,315.33,0.00,4.51,130.08,43.72
Highfield Hotel,30,138,235,40753.48,0.00,618.06,41371.54,295.32,0.00,4.48,173.42,32.10
Highfield Hotel,31,96,512,54016.15,0.00,161.20,54177.35,562.67,0.00,1.68,105.50,69.95
Highfield Hotel,32,150,324,40979.77,0.00,533.88,41513.65,273.20,0.00,3.56,126.48,44.26
Highfield Hotel,33,173,436,69628.88,0.00,703.18,70332.06,402.48,0.00,4.06,159.70,59.56
Highfield Hotel,34,159,329,43946.64,0.00,575.35,44521.99,276.39,0.00,3.62,133.58,44.95
Grand Total:,,4901,11775,1552603.45,0.00,20395.46,1572998.91,316.79,0.00,4.16,131.86,51.89
